,0,1,2,3,4,5,6,7,y_true,y_predict
0,8.3252,41.0,6.984126984126984,1.0238095238095237,322.0,2.5555555555555554,37.88,-122.23,4.526,8.187599149291284
1,8.3014,21.0,6.238137082601054,0.9718804920913884,2401.0,2.109841827768014,37.86,-122.22,3.585,-2.182144564756938
2,7.2574,52.0,8.288135593220339,1.073446327683616,496.0,2.8022598870056497,37.85,-122.24,3.521,0.6390330499530226
3,5.6431,52.0,5.8173515981735155,1.0730593607305936,558.0,2.547945205479452,37.85,-122.25,3.413,-0.5399033715515821
4,3.8462,52.0,6.281853281853282,1.0810810810810811,565.0,2.1814671814671813,37.85,-122.25,3.422,-1.9123166271459497
5,4.0368,52.0,4.761658031088083,1.1036269430051813,413.0,2.139896373056995,37.85,-122.25,2.697,7.64706916860774
6,3.6591,52.0,4.9319066147859925,0.9513618677042801,1094.0,2.1284046692607004,37.84,-122.25,2.992,-0.15429677755539362
7,3.12,52.0,4.797527047913447,1.061823802163833,1157.0,1.7882534775888717,37.84,-122.25,2.414,12.71592931480369
8,2.0804,42.0,4.294117647058823,1.1176470588235294,1206.0,2.026890756302521,37.84,-122.26,2.267,-2.072102324627518
9,3.6912,52.0,4.970588235294118,0.9901960784313726,1551.0,2.172268907563025,37.84,-122.25,2.611,5.894270058391914
10,3.2031,52.0,5.477611940298507,1.0796019900497513,910.0,2.263681592039801,37.85,-122.26,2.815,-2.4043565985564124
11,3.2705,52.0,4.772479564032698,1.0245231607629428,1504.0,2.0490463215258856,37.85,-122.26,2.418,-4.62253905987715
12,3.075,52.0,5.322649572649572,1.0128205128205128,1098.0,2.3461538461538463,37.85,-122.26,2.135,5.558866427241461
13,2.6736,52.0,4.0,1.0977011494252873,345.0,1.9827586206896552,37.84,-122.26,1.913,-3.5104545664168185
14,1.9167,52.0,4.262903225806451,1.0096774193548388,1212.0,1.9548387096774194,37.85,-122.26,1.592,-4.321724801028199
15,2.125,50.0,4.242424242424242,1.071969696969697,697.0,2.640151515151515,37.85,-122.26,1.4,1.761112685734661
16,2.775,52.0,5.9395770392749245,1.0483383685800605,793.0,2.395770392749245,37.85,-122.27,1.525,-0.1574286383716217
17,2.1202,52.0,4.052805280528053,0.966996699669967,648.0,2.1386138613861387,37.85,-122.27,1.555,-1.3334502429417014
18,1.9911,50.0,5.343675417661098,1.0859188544152745,990.0,2.3627684964200477,37.84,-122.26,1.587,2.85034261194993
19,2.6033,52.0,5.465454545454546,1.0836363636363637,690.0,2.5090909090909093,37.84,-122.27,1.629,0.25705878128015824
20,1.3578,40.0,4.524096385542169,1.108433734939759,409.0,2.463855421686747,37.85,-122.27,1.475,-6.086224118864627
21,1.7135,42.0,4.478142076502732,1.0027322404371584,929.0,2.5382513661202184,37.85,-122.27,1.598,-2.3443048044169315
22,1.725,52.0,5.096234309623431,1.1317991631799162,1015.0,2.1234309623430963,37.84,-122.27,1.139,5.705643112904864
